x,y,z,z_var
-6.0,-6.0,1.5352378454175835,0.113921693088336
-5.75,-6.0,0.9160795549109716,0.06531512120849081
-5.5,-6.0,0.26369843672559545,0.041013317538648675
-5.25,-6.0,-0.30826796275522306,0.030046132035175255
-5.0,-6.0,-0.7006546234458403,0.02520713185876655
-4.75,-6.0,-0.8563906248775334,0.023074689688683536
-4.5,-6.0,-0.7774606342865575,0.022323616686920067
-4.25,-6.0,-0.5247833770319398,0.022267590785918223
-4.0,-6.0,-0.2002527981175842,0.02230166329665928
-3.75,-6.0,0.08360135062423858,0.02194730843068915
-3.5,-6.0,0.23658180792853578,0.02106299518504695
-3.25,-6.0,0.21592344973365452,0.019900704981903994
-3.0,-6.0,0.035959069918539484,0.018853370513262968
-2.75,-6.0,-0.23990539842552408,0.01809488438879603
-2.5,-6.0,-0.5215104431411977,0.017515713447378456
-2.25,-6.0,-0.7210377178824925,0.016999634865972002
-2.0,-6.0,-0.7798480734110776,0.01662768659979741
-1.75,-6.0,-0.6852545592676945,0.016540000178668857
-1.5,-6.0,-0.4727474784092268,0.016698558267812302
-1.25,-6.0,-0.2135586380708583,0.0168897621885693
-1.0,-6.0,0.008319781925927916,0.01692381922254116
-0.75,-6.0,0.12255575761317561,0.016763046310287466
-0.5,-6.0,0.09428391205711129,0.016490056732817004
-0.25,-6.0,-0.06535050537092224,0.016226691031920648
0.0,-6.0,-0.30313739763689695,0.0160785783845101
0.25,-6.0,-0.5409942085031375,0.016089940023242377
0.5,-6.0,-0.7010010361629114,0.016213883558883202
0.75,-6.0,-0.7303566469474951,0.016339978334418248
1.0,-6.0,-0.6183124977069689,0.016378236725499873
1.25,-6.0,-0.39967497989078193,0.016334651650025567
1.5,-6.0,-0.14375976003990434,0.016310093332057907
1.75,-6.0,0.06766255529752596,0.016428002505487926
2.0,-6.0,0.16640389570955616,0.016783560473575765
2.25,-6.0,0.11966347655728199,0.017473726542805545
2.5,-6.0,-0.05917895785956695,0.01859972705764945
2.75,-6.0,-0.3140469908254174,0.020098237345324232
3.0,-6.0,-0.5627928757486887,0.021538940973744536
3.25,-6.0,-0.721911933961552,0.022255146570690165
3.5,-6.0,-0.7319710125970543,0.021866523778090396
3.75,-6.0,-0.576222653291177,0.020712264530631463
4.0,-6.0,-0.286870028868871,0.01974409125670884
4.25,-6.0,0.06296291213834357,0.0200469917944599
4.5,-6.0,0.37927817242641776,0.02248711426567329
4.75,-6.0,0.5733380895346779,0.027706203092728643
5.0,-6.0,0.5860503243562574,0.036511894292422076
5.25,-6.0,0.40333936128311776,0.050956989131274666
5.5,-6.0,0.05822104211559853,0.07610263426488562
